"propertyId","rentPrice","area","bathrooms","rooms","garages","latitude","longitude","address","suites","rentPeriodId","condominiumPrice","iptu"
"66354403","550",NA,"3","3","1","-48.394125","-27.434443","Rua Dante de Patta","1","DAY",NA,NA
"66354274","350",NA,"2","2","1","-48.395562","-27.434523","Rua Dante de Patta","1","DAY",NA,NA
"66354120","295",NA,"1","1","0","-48.400568","-27.425642","Rua das Gaivotas","0","DAY",NA,NA
"66354027","280",NA,"1","1","0","-48.400568","-27.425642","Rua das Gaivotas","0","DAY",NA,NA
"54370890","250","100","1","1","1","-27.446593","-48.383875","Armando Calil Bulos, 6553","0","DAY","1","1"
"64683885","490","40","1","0","0","-27.5944444","-48.5752778","Avenida Santa Catarina","0","MON","0",NA
"65274062","1100","39","1","1","1","-27.5932366","-48.5437358","Rua Conselheiro Mafra","0","MON","187",NA
"65159283","1400","35","1","2","0","-27.5832323","-48.496221","Servidão José Antônio de Lima","0","MON","0",NA
"66431803","2500","69","2","2","1","-27.5795331","-48.5825281","Rua José Cândido da Silva","1","MON","411",NA
"64684303","1000","85","1","2","1","-27.6830556","-48.4916667","ROD SC405","0","MON","288",NA
"58378026","1400","93","2","3","2","-27.5944444","-48.5752778","SANTA CATARINA, 209","1","MON","780","128"
"63738459","2800",NA,"2","3","0","-27.578449","-48.5362308","Rua Rui Barbosa","1","MON",NA,NA
"61960735","1900","138","3","3","2","-27.5944444","-48.5752778","HUMAITA, 100","3","MON","945",NA
"58093382","800","100","3","2","2","-27.5952778","-48.5961111","Rua Fermino Costa","1","MON","465","117"
"66471455","2500","88","1","2","2","-27.5932366","-48.5437358","Rua Brigadeiro Silva Paes, 26","1","MON","678",NA
"56529122","2900","100","2","3","1","-27.6055556","-48.5947222","Rua João Meirelles","3","MON","609","147"
"56529102","2400","104","2","3","1","-27.6055556","-48.5947222","Rua João Meirelles","3","MON","628","15"
"56529101","2000","78","2","2","1","-27.6055556","-48.5947222","Rua João Meirelles","1","MON","464","101"
"56421129","2000","87","2","2","1","-27.6055556","-48.5947222","Rua João Meirelles","2","MON","511","117"
"58669481","4000","202","0","3","2","-27.578449","-48.5362308","Avenida Governador Irineu Bornhausen","1","MON","1600",NA
"63781081","950","43","1","1","5","-27.599479","-48.467411",NA,"0","MON","1","30"
"62598868","2500","143","3","3","1","-27.5932366","-48.5437358",NA,"1","MON","810",NA
"65420096","900","42","1","1","0","-27.5932366","-48.5437358",NA,"0","MON","280",NA
"63111358","2200","117","2","3","1","-27.5932366","-48.5437358",NA,"1","MON","540",NA
"66354521","250",NA,"1","1","1","-48.405725","-27.428543","Rua Martinho de Haro","0","DAY",NA,NA
"66354094","300",NA,"1","1","0","-48.400568","-27.425642","Rua das Gaivotas","0","DAY",NA,NA
"66354041","210",NA,"1","1","1","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"64991502","1000","80","1","1","1","-27.422163","-48.403668","Estrada Dom João Becker","0","MON","356",NA
"66523050","1400","77","2","3","1","-27.607406","-48.5362308","Rua João Motta Espezim","1","MON","102",NA
"64684744","850",NA,"1","1","0","-27.5832323","-48.496221","Rodovia Admar Gonzaga","0","MON","180",NA
"60912967","1000","60","2","2","1","-27.589848","-48.580652",NA,"1","MON","50","22"
"58796542","2600","78","2","3","2","-27.568567","-48.514686",NA,"1","MON","810",NA
"56421109","2300","103","2","3","1","-27.6055556","-48.5947222","Rua João Meirelles","3","MON","625","188"
"57422930","1400","61","2","2","1","-27.432242","-48.458217","Rodovia Tertuliano Brito Xavier","1","MON","310","76"
"55886721","1000","51","1","2","1","-27.6357342","-48.5212237","JORGE LACERDA, 1835","0","MON","380","69"
"61960819","1600","65","1","2","0","-27.5932366","-48.5437358","Rua Maestro Tullo Cavallazzi","0","MON","200","191"
"57422568","2200","62","1","1","1","-27.5932366","-48.5437358","Avenida Trompowsky","0","MON","420","91"
"56571498","1500","90","2","2","1","-27.5557897","-48.4937213","Rodovia Virgílio Várzea","1","MON","520","73"
"57422712","950","85","2","2","0","-27.5944444","-48.5752778","Rua General Euríco Gáspar Dutra","0","MON","170","258"
